player_rating,opponent_rating,rating_diff,player_acpl,expected_acpl,acpl_gap,num_moves,avg_time_per_move,performance_rating,time_control_seconds,time_control,game_result,opening_eco,opening_family,color_played,is_suspicious
1178,1173,5,58,100,-42,30,4.79,1578,180,blitz,win,C44,C,white,1
1173,1178,5,91,100,-9,30,3.96,773,180,blitz,loss,C44,C,black,0
1194,1280,86,47,100,-53,36,2.72,794,180,blitz,loss,C01,C,white,1
1280,1194,86,23,90,-67,36,2.77,1680,180,blitz,win,C01,C,black,1
1276,1203,73,17,90,-73,29,3.43,1676,180,blitz,win,C57,C,white,1
1203,1276,73,48,90,-42,29,2.28,803,180,blitz,loss,C57,C,black,1
1288,1200,88,130,90,40,38,3.03,1688,180,blitz,win,C25,C,white,0
1200,1288,88,152,90,62,38,4.74,800,180,blitz,loss,C25,C,black,0
1315,1232,83,104,90,14,29,2.27,1715,180,blitz,win,B23,B,white,0
1232,1315,83,134,90,44,29,5.29,832,180,blitz,loss,B23,B,black,0
1352,1466,114,37,90,-53,44,1.42,1752,180,blitz,win,B01,B,white,1
1466,1352,114,57,84,-27,44,4.09,1066,180,blitz,loss,B01,B,black,0
1352,1344,8,115,90,25,36,5.0,952,180,blitz,loss,D00,D,white,0
1344,1352,8,95,90,5,36,1.93,1744,180,blitz,win,D00,D,black,0
1635,1138,497,62,75,-13,26,6.92,1235,180,blitz,loss,C23,C,white,0
1138,1635,497,84,100,-16,26,3.54,1538,180,blitz,win,C23,C,black,0
987,1063,76,96,105,-9,30,7.44,587,600,rapid,loss,D00,D,white,0
1063,987,76,63,100,-37,30,5.22,1463,600,rapid,win,D00,D,black,0
1490,1184,306,45,84,-39,18,3.61,1890,600,rapid,win,unknown,unknown,white,0
1184,1490,306,101,100,1,18,3.93,784,600,rapid,loss,unknown,unknown,black,0
1215,1142,73,62,90,-28,30,2.29,1615,600,rapid,win,C20,C,white,0
1142,1215,73,93,100,-7,30,2.25,742,600,rapid,loss,C20,C,black,0
1207,1301,94,12,90,-78,21,4.38,1607,600,rapid,win,C50,C,white,1
1301,1207,94,57,90,-33,21,2.43,901,600,rapid,loss,C50,C,black,0
1320,1158,162,98,90,8,20,10.51,920,1800,classical,loss,C47,C,white,0
1158,1320,162,55,100,-45,20,3.45,1558,1800,classical,win,C47,C,black,1
1798,1916,118,22,75,-53,47,3.33,2198,300,blitz,win,C47,C,white,1
1916,1798,118,42,70,-28,47,2.58,1516,300,blitz,loss,C47,C,black,0
1732,1907,175,47,75,-28,36,8.33,1332,300,blitz,loss,C50,C,white,0
1907,1732,175,27,70,-43,36,3.64,2307,300,blitz,win,C50,C,black,1
1926,1556,370,82,70,12,22,5.13,1526,300,blitz,loss,A42,A,white,0
1556,1926,370,37,84,-47,22,5.44,1956,300,blitz,win,A42,A,black,1
1958,1961,3,38,70,-32,34,9.39,1558,300,blitz,loss,E12,E,white,0
1961,1958,3,9,70,-61,34,4.27,2361,300,blitz,win,E12,E,black,1
1951,1993,42,39,70,-31,46,3.09,1951,180,blitz,draw,A40,A,white,0
1993,1951,42,40,70,-30,46,2.48,1993,180,blitz,draw,A40,A,black,0
1883,1946,63,55,70,-15,24,9.06,1483,180,blitz,loss,D01,D,white,0
1946,1883,63,33,70,-37,24,4.14,2346,180,blitz,win,D01,D,black,0
1955,1648,307,62,70,-8,22,1.28,1555,180,blitz,loss,D32,D,white,0
1648,1955,307,17,75,-58,22,1.56,2048,180,blitz,win,D32,D,black,1
1941,2013,72,21,70,-49,70,2.44,2341,180,blitz,win,D37,D,white,1
2013,1941,72,36,39,-3,70,2.57,1613,180,blitz,loss,D37,D,black,0
1944,2238,294,29,70,-41,55,2.95,1544,180,blitz,loss,D93,D,white,1
2238,1944,294,11,39,-28,55,2.68,2638,180,blitz,win,D93,D,black,0
1788,1580,208,65,75,-10,38,13.49,1388,600,rapid,loss,A56,A,white,0
1580,1788,208,38,84,-46,38,11.16,1980,600,rapid,win,A56,A,black,1
1169,1788,619,82,100,-18,33,8.3,769,600,rapid,loss,C58,C,white,0
1788,1169,619,52,75,-23,33,4.25,2188,600,rapid,win,C58,C,black,0
1876,1778,98,67,70,-3,41,8.65,1476,600,rapid,loss,C42,C,white,0
1778,1876,98,51,75,-24,41,5.23,2178,600,rapid,win,C42,C,black,0
1773,1770,3,46,75,-29,38,6.54,1373,600,rapid,loss,D11,D,white,0
1770,1773,3,21,75,-54,38,3.65,2170,600,rapid,win,D11,D,black,1
2335,1770,565,34,39,-5,69,6.81,2735,480,rapid,win,C65,C,white,0
1770,2335,565,47,75,-28,69,6.89,1370,480,rapid,loss,C65,C,black,0
1770,1786,16,38,75,-37,35,4.31,1770,600,rapid,draw,E60,E,white,0
1786,1770,16,19,75,-56,35,8.06,1786,600,rapid,draw,E60,E,black,1
1763,1771,8,49,75,-26,32,7.54,2163,600,rapid,win,A40,A,white,0
1771,1763,8,81,75,6,32,4.34,1371,600,rapid,loss,A40,A,black,0
1760,1902,142,33,75,-42,37,10.43,1760,600,rapid,draw,D31,D,white,1
1902,1760,142,34,70,-36,37,13.0,1902,600,rapid,draw,D31,D,black,0
1747,1887,140,30,75,-45,25,2.76,2147,600,rapid,win,E21,E,white,1
1887,1747,140,62,70,-8,25,6.95,1487,600,rapid,loss,E21,E,black,0
1748,2081,333,39,75,-36,37,6.76,1348,480,rapid,loss,D37,D,white,0
2081,1748,333,26,39,-13,37,6.39,2481,480,rapid,win,D37,D,black,0
2188,1749,439,48,39,9,45,3.0,2588,480,rapid,win,C30,C,white,0
1749,2188,439,62,75,-13,45,4.5,1349,480,rapid,loss,C30,C,black,0
1775,1759,16,25,75,-50,34,4.97,2175,480,rapid,win,C50,C,white,1
1759,1775,16,39,75,-36,34,7.62,1359,480,rapid,loss,C50,C,black,0
1756,1998,242,57,75,-18,38,3.57,1756,480,rapid,draw,D15,D,white,0
1998,1756,242,58,70,-12,38,2.66,1998,480,rapid,draw,D15,D,black,0
1857,1760,97,32,70,-38,26,5.47,2257,480,rapid,win,C57,C,white,0
1760,1857,97,46,75,-29,26,3.1,1360,480,rapid,loss,C57,C,black,0
1769,1611,158,54,75,-21,34,2.11,1369,480,rapid,loss,E60,E,white,0
1611,1769,158,24,75,-51,34,0.96,2011,480,rapid,win,E60,E,black,1
794,1769,975,62,105,-43,31,8.93,394,480,rapid,loss,C48,C,white,1
1769,794,975,31,75,-44,31,2.54,2169,480,rapid,win,C48,C,black,1
2076,1772,304,17,39,-22,62,3.8,2476,480,rapid,win,C42,C,white,0
1772,2076,304,34,75,-41,62,3.63,1372,480,rapid,loss,C42,C,black,1
